"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Bhlha15",0.671298494155836,-3.91880589221478,0.730812939149888,0.467778141524684,0.656707506586527,-5.02764544928392
"T2",0.69811977941296,-1.77665063812246,0.918118391715229,0.362285157058146,0.600310186711892,-5.0277212509031
"Gm25580",0.654115898746394,-3.55229400103114,0.709154065972525,0.481014501041484,0.66907166216658,-5.02790932842226
"6030442K20Rik",-0.660670387700093,-1.01244172249385,-1.07269214633151,0.2877657642836,0.517043013902637,-5.02791717895898
"Hmgb1-ps3",0.67014699033471,-3.26962836551282,0.700902560576067,0.486111741236402,0.674162179682196,-5.02796583594807
"4633401B06Rik",-0.705848229127335,-1.3726856262762,-0.997864678483035,0.322409287624058,0.557292174591447,-5.02800919506096
"C430002N11Rik",-0.671143949945911,-1.2799094376927,-1.01879751398725,0.312447708126237,0.547169214763237,-5.02802317456677
"Gm9850",-0.686453246771035,-2.70523367277156,-0.749651273679349,0.456435722693059,0.647004271157566,-5.02805639613079
"Scn7a",-0.674652009215059,-3.9392820168457,-0.733652363392272,0.466058358906998,0.655282020178361,-5.02831869974512
"Mir8102",-0.674652009215059,-3.9392820168457,-0.733652363392272,0.466058358906998,0.655282020178361,-5.02831869974512
"Gm48611",-0.674652009215059,-3.9392820168457,-0.733652363392272,0.466058358906998,0.655282020178361,-5.02831869974512
"Meox1",-0.678003061496319,-3.24163759262714,-0.705505754622568,0.483264500845341,0.671338643973329,-5.0284829929132
